chip_stem,scene_stem,source,sza_bin,split,date,hour_utc,region,wind_speed_10m,temp_2m,pass_wind,pass_temp,pass_both
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r7424_c6400,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c7680,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r0512_c2816,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r6912_c10240,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c4608,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c8192,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c7424,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c5120,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c7168,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c4864,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,val,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r6912_c6656,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,test,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,test,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c6400,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,test,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7936_c4864,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6912_c6144,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9216_c4096,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9984_c4352,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9472_c4864,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9216_c3584,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c4096,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4864_c6656,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6400_c5632,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9472_c4608,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6656_c4864,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c2816,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c4096,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5632_c6144,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5888_c5120,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5376_c5120,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10496_c4352,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6400_c5120,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5888_c5376,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9984_c4096,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5632_c5120,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c5376,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4608_c5376,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7424_c4864,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7168_c4864,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,train,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9472_c5120,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,val,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5888_c6144,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,val,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8448_c4864,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,test,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9216_c4864,S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417,roboflow,sza_gt75,test,2021-11-01,14,SK,2.75,-5.20,True,False,False
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5632_c1536,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4352_c0000,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2816_c1792,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2816,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4608_c1792,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4352_c0256,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5120_c9728,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5888_c1280,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,train,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9472_c7936,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,val,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,val,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c8192,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,test,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,test,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c0000,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,test,2018-10-01,14,SK,2.62,1.00,True,True,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c9472,S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106,roboflow,sza_65_70,test,2018-10-01,14,SK,2.62,1.00,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6144_c3840,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5888_c4352,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5376_c4096,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c0768,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5120_c5120,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7424_c5888,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5120_c3584,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c4608,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9728_c4352,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6912_c4352,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c4096,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6400_c4096,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c3072,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9472_c1280,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r4352_c5632,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6656_c4608,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c4352,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r2048_c3328,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9472_c2048,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8448_c8192,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7680_c4096,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8704_c3840,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r4096_c5120,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8960_c5632,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r10496_c1792,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8960_c4352,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c2816,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c6144,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8704_c6400,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c4608,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r10240_c6400,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8960_c0512,S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721,roboflow,sza_70_75,train,2021-10-01,13,KQ,1.25,2.80,True,True,True
